variable,alcohol_category,category,estimate,se,p_overall,n_unweighted
arthritis,Non-drinker,Yes,0.23649289539675505,0.03383160681062347,2.813319104910178e-4,506
arthritis,Drinkers (non-binge),Yes,0.31202135007397225,0.02803096119508503,2.813319104910178e-4,1973
arthritis,Binge drinker,Yes,0.18528031873415632,0.014536292593901906,2.813319104910178e-4,1357
sleep_trouble,Non-drinker,No,0.828109020000742,0.02311887720539974,0.0029132650868307027,584
sleep_trouble,Drinkers (non-binge),No,0.6791767171910437,0.01618578770158648,0.0029132650868307027,2052
sleep_trouble,Binge drinker,No,0.7182403862706743,0.023997135772487573,0.0029132650868307027,1436
sleep_trouble,Non-drinker,Yes,0.17189097999925784,0.023118877205399742,0.0029132650868307027,584
sleep_trouble,Drinkers (non-binge),Yes,0.32082328280895633,0.01618578770158648,0.0029132650868307027,2052
sleep_trouble,Binge drinker,Yes,0.2817596137293257,0.023997135772487573,0.0029132650868307027,1436
daytime_sleepy,Non-drinker,No,0.8036069252811145,0.03137049423610445,0.04443047901897726,583
daytime_sleepy,Drinkers (non-binge),No,0.7199815428476783,0.012067103398457988,0.04443047901897726,2050
daytime_sleepy,Binge drinker,No,0.7052083531966779,0.015391677231066924,0.04443047901897726,1437
daytime_sleepy,Non-drinker,Yes,0.19639307471888542,0.03137049423610445,0.04443047901897726,583
daytime_sleepy,Drinkers (non-binge),Yes,0.2800184571523216,0.012067103398457986,0.04443047901897726,2050
daytime_sleepy,Binge drinker,Yes,0.2947916468033221,0.015391677231066922,0.04443047901897726,1437
insufficient_sleep,Non-drinker,No,0.767015949186769,0.028360453265285537,0.5768925654487705,581
insufficient_sleep,Drinkers (non-binge),No,0.787847005164091,0.01375070657065065,0.5768925654487705,2042
insufficient_sleep,Binge drinker,No,0.7739139717792334,0.019024562411793663,0.5768925654487705,1433
insufficient_sleep,Non-drinker,Yes,0.23298405081323093,0.02836045326528554,0.5768925654487705,581
insufficient_sleep,Drinkers (non-binge),Yes,0.21215299483590908,0.013750706570650653,0.5768925654487705,2042
insufficient_sleep,Binge drinker,Yes,0.22608602822076662,0.019024562411793663,0.5768925654487705,1433
snoring_frequent,Non-drinker,No,0.7836677615187747,0.0317786271952824,0.21851261644576278,537
snoring_frequent,Drinkers (non-binge),No,0.7367186886553215,0.015979477998646616,0.21851261644576278,1923
snoring_frequent,Binge drinker,No,0.714611568201523,0.01811593389079662,0.21851261644576278,1356
snoring_frequent,Non-drinker,Yes,0.21633223848122538,0.0317786271952824,0.21851261644576278,537
snoring_frequent,Drinkers (non-binge),Yes,0.2632813113446784,0.01597947799864662,0.21851261644576278,1923
snoring_frequent,Binge drinker,Yes,0.285388431798477,0.018115933890796625,0.21851261644576278,1356
breathing_pauses,Non-drinker,No,0.8131041780724472,0.023106760822550008,0.023671845319137883,561
breathing_pauses,Drinkers (non-binge),No,0.7826420608512229,0.01553897513610012,0.023671845319137883,1960
breathing_pauses,Binge drinker,No,0.7149410180816174,0.023666949774577135,0.023671845319137883,1350
breathing_pauses,Non-drinker,Yes,0.18689582192755289,0.023106760822550008,0.023671845319137883,561
breathing_pauses,Drinkers (non-binge),Yes,0.21735793914877716,0.015538975136100119,0.023671845319137883,1960
breathing_pauses,Binge drinker,Yes,0.28505898191838264,0.023666949774577135,0.023671845319137883,1350
